Wall time,Step,Value
1618139968.5481377,100,0.16650390625
1618139969.0342298,200,0.35302734375
1618139969.5617185,300,0.587890625
1618139970.13157,400,0.722900390625
1618139970.6462839,500,0.741455078125
1618139971.1504402,600,0.801513671875
1618139971.6419952,700,0.885986328125
1618139972.1579168,800,0.936279296875
1618139972.640381,900,0.82568359375
1618139973.1129594,1000,0.7626953125
1618139973.5927937,1100,0.810546875
1618139974.0864162,1200,0.7431640625
1618139974.5731602,1300,0.736572265625
1618139975.0473552,1400,0.761962890625
1618139975.6811647,1500,0.73388671875
1618139976.1522353,1600,0.760498046875
1618139976.6303747,1700,0.64453125
1618139977.1015153,1800,0.638671875
1618139977.5727866,1900,0.597412109375
1618139978.040059,2000,0.585205078125
1618139978.5236511,2100,0.57373046875
1618139979.007518,2200,0.541259765625
1618139979.500084,2300,0.562255859375
1618139979.992417,2400,0.612548828125
1618139980.472809,2500,0.517822265625
1618139981.1094482,2600,0.43359375
1618139981.5828388,2700,0.485595703125
1618139982.0677547,2800,0.444580078125
1618139982.548332,2900,0.381103515625
1618139983.02124,3000,0.38427734375
1618139983.5006392,3100,0.374267578125
1618139983.9967816,3200,0.39697265625
1618139984.4780743,3300,0.369384765625
1618139984.9797907,3400,0.37255859375
1618139985.4672568,3500,0.318115234375
1618139985.9600542,3600,0.275634765625
1618139986.630975,3700,0.302978515625
1618139987.1283934,3800,0.275146484375
1618139987.6193576,3900,0.2890625
1618139988.1099136,4000,0.247802734375
1618139988.607722,4100,0.266357421875
1618139989.099845,4200,0.2275390625
1618139989.597444,4300,0.194580078125
1618139990.091224,4400,0.2236328125
1618139990.5790126,4500,0.2197265625
1618139991.0676074,4600,0.217041015625
1618139991.5620406,4700,0.16064453125
1618139992.2136467,4800,0.1826171875
1618139992.7066097,4900,0.157958984375
1618139993.1897922,5000,0.153076171875
1618139993.683986,5100,0.1484375
1618139994.1794097,5200,0.1474609375
1618139994.6634142,5300,0.11474609375
1618139995.1444786,5400,0.11669921875
1618139995.6361842,5500,0.123779296875
1618139996.1303241,5600,0.09912109375
1618139996.6420455,5700,0.099365234375
1618139997.1963556,5800,0.080810546875
1618139997.78518,5900,0.08740234375
1618139998.2649217,6000,0.07275390625
1618139998.7456646,6100,0.065673828125
1618139999.242636,6200,0.06494140625
1618139999.7242815,6300,0.0634765625
1618140000.2343078,6400,0.05126953125
1618140000.7382872,6500,0.06494140625
1618140001.2307627,6600,0.04833984375
1618140001.7213361,6700,0.045654296875
1618140002.1974924,6800,0.042236328125
1618140002.8073764,6900,0.036865234375
1618140003.332513,7000,0.040283203125
1618140003.8085976,7100,0.032958984375
1618140004.2957313,7200,0.0390625
1618140004.7920554,7300,0.030517578125
1618140005.2798007,7400,0.022705078125
1618140005.7657492,7500,0.023193359375
1618140006.256784,7600,0.0283203125
1618140006.7582817,7700,0.017333984375
1618140007.2351794,7800,0.018310546875
1618140007.7176611,7900,0.01513671875
1618140008.3512783,8000,0.015625
1618140008.8641865,8100,0.01220703125
1618140009.351089,8200,0.01318359375
1618140009.8385446,8300,0.0166015625
1618140010.3118856,8400,0.01123046875
1618140010.8167808,8500,0.00927734375
1618140011.294403,8600,0.014892578125
1618140011.7690766,8700,0.00927734375
1618140012.2626073,8800,0.007080078125
1618140012.7507427,8900,0.00830078125
1618140013.2348635,9000,0.009521484375
1618140013.8999212,9100,0.007568359375
1618140014.3892176,9200,0.006103515625
1618140014.875411,9300,0.00439453125
1618140015.3539047,9400,0.005126953125
1618140015.8697498,9500,0.008056640625
1618140016.3610353,9600,0.003173828125
1618140016.8416474,9700,0.00439453125
1618140017.3242316,9800,0.00244140625
1618140017.8133545,9900,0.003662109375
1618140018.2868977,10000,0.002197265625
1618140018.7797008,10100,0.003662109375
1618140019.4202225,10200,0.00634765625
1618140019.9128623,10300,0.002685546875
1618140020.3959773,10400,0.002197265625
1618140020.8698003,10500,0.0029296875
1618140021.362818,10600,0.001953125
1618140021.8594506,10700,0.001953125
1618140022.3510458,10800,0.002197265625
1618140022.838656,10900,0.001953125
1618140023.3175929,11000,0.002197265625
1618140023.8027344,11100,0.00244140625
1618140024.2897692,11200,0.001220703125
1618140024.9408908,11300,0.001708984375
