Wall time,Step,Value
1618752766.2477233,100,0.173828125
1618752767.0938985,200,0.1640625
1618752768.070027,300,0.158203125
1618752768.9051266,400,0.125
1618752769.7335873,500,0.1171875
1618752770.5592458,600,0.1015625
1618752771.3727698,700,0.08984375
1618752772.1923306,800,0.087890625
1618752773.0235171,900,0.0859375
1618752773.9912202,1000,0.078125
1618752774.7804863,1100,0.07421875
1618752775.568768,1200,0.056640625
1618752776.3798466,1300,0.052734375
1618752777.1775584,1400,0.05859375
1618752777.982311,1500,0.0546875
1618752778.9618716,1600,0.0625
1618752779.7816846,1700,0.04296875
1618752780.5794015,1800,0.04296875
1618752781.3785925,1900,0.056640625
1618752782.213674,2000,0.046875
1618752783.0427,2100,0.041015625
1618752783.856451,2200,0.0390625
1618752784.8334727,2300,0.03125
1618752785.6343613,2400,0.033203125
1618752786.4396045,2500,0.046875
1618752787.2377095,2600,0.025390625
1618752788.0497398,2700,0.044921875
1618752788.8633747,2800,0.02734375
1618752789.8336246,2900,0.02734375
1618752790.6193852,3000,0.033203125
1618752791.4123232,3100,0.03515625
1618752792.2217937,3200,0.0234375
1618752793.0624428,3300,0.03125
1618752793.864997,3400,0.033203125
1618752794.6778622,3500,0.041015625
1618752795.684965,3600,0.03125
1618752796.5020967,3700,0.02734375
1618752797.3174987,3800,0.025390625
1618752798.1267242,3900,0.033203125
1618752798.9395463,4000,0.02734375
1618752799.766326,4100,0.029296875
1618752800.759822,4200,0.033203125
1618752801.5689394,4300,0.025390625
1618752802.3718438,4400,0.041015625
1618752803.1837955,4500,0.029296875
1618752804.0251677,4600,0.0234375
1618752804.8335667,4700,0.033203125
1618752805.6328404,4800,0.03515625
1618752806.6084666,4900,0.0234375
1618752807.4034274,5000,0.037109375
1618752808.208936,5100,0.0234375
1618752809.0266435,5200,0.03515625
1618752809.8331363,5300,0.025390625
1618752810.6404362,5400,0.0234375
1618752811.627669,5500,0.0390625
1618752812.435959,5600,0.021484375
1618752813.244636,5700,0.033203125
1618752814.0622199,5800,0.02734375
1618752814.8743358,5900,0.029296875
1618752815.681709,6000,0.033203125
1618752816.495508,6100,0.025390625
1618752817.4722261,6200,0.037109375
1618752818.2934897,6300,0.037109375
1618752819.1020617,6400,0.017578125
1618752819.9056556,6500,0.021484375
1618752820.7315862,6600,0.03125
1618752821.542261,6700,0.02734375
1618752822.549697,6800,0.02734375
1618752823.3315463,6900,0.0234375
1618752824.1391838,7000,0.025390625
1618752824.9649448,7100,0.03125
1618752825.7773662,7200,0.01953125
1618752826.5907671,7300,0.044921875
1618752827.392046,7400,0.03515625
1618752828.3770633,7500,0.021484375
1618752829.2235904,7600,0.025390625
1618752830.0662622,7700,0.033203125
1618752830.885214,7800,0.017578125
1618752831.6975746,7900,0.0234375
1618752832.516152,8000,0.0703125
1618752833.5018885,8100,0.02734375
1618752834.3172376,8200,0.01953125
1618752835.143681,8300,0.037109375
1618752835.9611876,8400,0.021484375
1618752836.777037,8500,0.0234375
1618752837.5627353,8600,0.02734375
1618752838.44639,8700,0.029296875
1618752839.3722878,8800,0.03515625
1618752840.1658788,8900,0.029296875
1618752840.9651868,9000,0.02734375
1618752841.7775025,9100,0.041015625
1618752842.5661175,9200,0.02734375
1618752843.3583708,9300,0.01953125
1618752844.3826058,9400,0.01953125
1618752845.1894605,9500,0.021484375
1618752846.0250454,9600,0.021484375
1618752846.8433394,9700,0.01953125
1618752847.649506,9800,0.03125
1618752848.458462,9900,0.017578125
1618752849.314344,10000,0.02734375
1618752850.225158,10100,0.03515625
1618752851.0455825,10200,0.03125
1618752851.864576,10300,0.025390625
1618752852.6661012,10400,0.02734375
1618752853.4684002,10500,0.021484375
1618752854.2601962,10600,0.02734375
1618752855.2416768,10700,0.033203125
1618752856.086801,10800,0.02734375
1618752856.9028132,10900,0.01953125
1618752857.6975048,11000,0.01953125
1618752858.5187843,11100,0.017578125
1618752859.3334274,11200,0.03125
1618752860.2332897,11300,0.03125
1618752861.147306,11400,0.0234375
1618752861.9704113,11500,0.021484375
1618752862.7703605,11600,0.017578125
1618752863.5707393,11700,0.033203125
1618752864.3652933,11800,0.025390625
1618752865.1621838,11900,0.021484375
1618752866.168654,12000,0.02734375
1618752866.9892848,12100,0.015625
1618752867.7949488,12200,0.025390625
1618752868.6055133,12300,0.03125
1618752869.4164948,12400,0.021484375
1618752870.2272496,12500,0.03125
1618752871.0822206,12600,0.033203125
1618752872.0296614,12700,0.0234375
1618752872.8364234,12800,0.02734375
1618752873.6475883,12900,0.025390625
1618752874.4490747,13000,0.01953125
1618752875.2775786,13100,0.03515625
1618752876.079999,13200,0.029296875
1618752877.0804949,13300,0.017578125
1618752877.8988373,13400,0.029296875
1618752878.7245946,13500,0.02734375
1618752879.5223951,13600,0.0234375
1618752880.3303187,13700,0.025390625
1618752881.1205566,13800,0.025390625
1618752882.017158,13900,0.033203125
1618752882.9284012,14000,0.017578125
1618752883.7287517,14100,0.017578125
1618752884.5446105,14200,0.013671875
1618752885.3716254,14300,0.033203125
1618752886.1733773,14400,0.013671875
1618752886.979592,14500,0.033203125
1618752887.9615943,14600,0.0234375
1618752888.7665286,14700,0.02734375
1618752889.580359,14800,0.017578125
1618752890.3951943,14900,0.033203125
1618752891.1893716,15000,0.021484375
