Wall time,Step,Value
1618140136.03233,100,0.34423828125
1618140136.5611844,200,0.5302734375
1618140137.0482068,300,0.6878662109375
1618140137.5456274,400,0.6912841796875
1618140138.04508,500,0.6639404296875
1618140138.5380063,600,0.7591552734375
1618140139.02498,700,0.700927734375
1618140139.518076,800,0.6888427734375
1618140139.9946141,900,0.6773681640625
1618140140.645513,1000,0.676025390625
1618140141.1270862,1100,0.6573486328125
1618140141.6092987,1200,0.63916015625
1618140142.0949218,1300,0.5965576171875
1618140142.5863664,1400,0.5848388671875
1618140143.0614014,1500,0.6015625
1618140143.5528622,1600,0.54052734375
1618140144.0439458,1700,0.5699462890625
1618140144.535444,1800,0.524658203125
1618140145.0236576,1900,0.5072021484375
1618140145.5137095,2000,0.5008544921875
1618140146.157021,2100,0.4876708984375
1618140146.6551569,2200,0.4412841796875
1618140147.13305,2300,0.4356689453125
1618140147.6234746,2400,0.482421875
1618140148.1103976,2500,0.422607421875
1618140148.5973248,2600,0.4224853515625
1618140149.0823002,2700,0.4117431640625
1618140149.5747423,2800,0.3663330078125
1618140150.1035173,2900,0.4219970703125
1618140150.6659727,3000,0.369140625
1618140151.44692,3100,0.3658447265625
1618140151.975277,3200,0.35693359375
1618140152.4556637,3300,0.3101806640625
1618140152.970149,3400,0.3336181640625
1618140153.4567378,3500,0.3048095703125
1618140154.1715417,3600,0.330078125
1618140154.652468,3700,0.2921142578125
1618140155.1369085,3800,0.2938232421875
1618140155.63257,3900,0.278076171875
1618140156.1208947,4000,0.26806640625
1618140156.642381,4100,0.2530517578125
1618140157.2462842,4200,0.2464599609375
1618140157.72845,4300,0.2354736328125
1618140158.2038002,4400,0.2369384765625
1618140158.7075863,4500,0.2164306640625
1618140159.2137864,4600,0.2200927734375
1618140159.908407,4700,0.20947265625
1618140160.40875,4800,0.20849609375
1618140160.9191232,4900,0.1810302734375
1618140161.4121113,5000,0.188720703125
1618140162.131799,5100,0.16845703125
1618140162.7964633,5200,0.160400390625
1618140163.3069413,5300,0.16650390625
1618140163.8040671,5400,0.16064453125
1618140164.5254369,5500,0.15185546875
1618140165.0414658,5600,0.1470947265625
1618140165.5545266,5700,0.1275634765625
1618140166.3302462,5800,0.1307373046875
1618140166.8396432,5900,0.1217041015625
1618140167.35462,6000,0.12158203125
1618140168.1847615,6100,0.120849609375
1618140168.7744987,6200,0.11865234375
1618140169.295451,6300,0.11376953125
1618140170.015385,6400,0.111083984375
1618140170.4981704,6500,0.103515625
1618140171.0241697,6600,0.09326171875
1618140171.5218933,6700,0.0867919921875
1618140172.23198,6800,0.084228515625
1618140172.7564375,6900,0.0848388671875
1618140173.2437356,7000,0.07861328125
1618140174.014944,7100,0.085693359375
1618140174.6644511,7200,0.07177734375
1618140175.1559935,7300,0.0679931640625
1618140175.6541898,7400,0.07080078125
1618140176.1418169,7500,0.0638427734375
1618140176.6482534,7600,0.0550537109375
1618140177.1275558,7700,0.0584716796875
1618140177.6163833,7800,0.0643310546875
1618140178.0938895,7900,0.05322265625
1618140178.5843797,8000,0.0499267578125
1618140179.0790534,8100,0.0462646484375
1618140179.7280023,8200,0.0435791015625
1618140180.216875,8300,0.0418701171875
1618140180.711163,8400,0.0438232421875
1618140181.21159,8500,0.0389404296875
1618140181.6929133,8600,0.0362548828125
1618140182.1638074,8700,0.0328369140625
1618140182.6607463,8800,0.0328369140625
1618140183.1532788,8900,0.0308837890625
1618140183.6363103,9000,0.0299072265625
1618140184.1189125,9100,0.02685546875
1618140184.6389225,9200,0.02880859375
1618140185.2658172,9300,0.0257568359375
1618140185.7555172,9400,0.024169921875
1618140186.2536669,9500,0.0262451171875
1618140186.7355516,9600,0.021484375
1618140187.2298174,9700,0.0213623046875
1618140187.7164845,9800,0.0216064453125
1618140188.2183447,9900,0.015380859375
1618140188.7072728,10000,0.016845703125
1618140189.2306316,10100,0.0140380859375
1618140189.7462614,10200,0.0147705078125
1618140190.364452,10300,0.01513671875
1618140190.8762734,10400,0.0150146484375
1618140191.3504262,10500,0.013671875
1618140191.8262799,10600,0.0145263671875
1618140192.3096356,10700,0.0111083984375
1618140192.796104,10800,0.0084228515625
1618140193.2881637,10900,0.0098876953125
1618140193.7627156,11000,0.00927734375
1618140194.2515883,11100,0.010498046875
1618140194.7432182,11200,0.00830078125
1618140195.2294977,11300,0.0078125
